Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Type,PrcntRedArea,AnnTemp,AnnTime,AnnAtm,AnnCoolRate,AppMagField,ReannTemp,ReannTime,ReannTime,ReannCoolRate,AppMagField,Phase,GrainSize,Ms,Hc,Tc,MuMax,ER,TS,YS,Elong,HV,Cost
32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.21,,909,,8.22,,,,,22.82
31,69,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.19,,906,,8.83,,,,,23.13
30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.18,,903,,9.53,,,,,23.45
29,71,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.17,,900,,10.3,,,,,23.77
28,72,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.16,,897,,11.1,,,,,24.08
27,73,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.15,,889,,11.99,,,,,24.4
26,74,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.13,,897,,12.84,,,,,24.71
25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.12,,906,,13.61,,,,,25.03
24,76,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.09,,914,,14.53,,,,,25.34
23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.06,,923,,15.77,,,,,25.66
22,78,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.03,,932,,16.92,,,,,25.97
21,79,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.99,,940,,18.04,,,,,26.29
20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.97,,949,,18.97,,,,,26.6
19,81,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.95,,957,,19.39,,,,,26.91
18,82,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.94,,966,,19.62,,,,,27.23
17,83,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.93,,974,,19.78,,,,,27.54
16,84,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.92,,983,,19.87,,,,,27.85
15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.91,,992,,19.91,,,,,28.16
14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.9,,1000,,19.91,,,,,28.47
13,87,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.89,,1009,,19.86,,,,,28.78
12,88,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.88,,1017,,19.74,,,,,29.1
11,89,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.87,,1026,,19.57,,,,,29.41
10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.86,,1035,,19.43,,,,,29.72
9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.85,,1043,,19.28,,,,,30.03
8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.83,,1052,,19.05,,,,,30.34
7,93,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.82,,1060,,18.78,,,,,30.64
6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.81,,1069,,18.56,,,,,30.95
5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.79,,1078,,18.3,,,,,31.26
4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,1.78,,1086,,18.01,,,,,31.57
