,Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Ms,Hc,Tc,ER,TS,YS,Elong,HV,Cost
796,85,0,11.6,0,1.2,0,1.8,0,0,0,0,0,0,0.4,0,,,,,863,745,3.7,220,2.99
797,85,0,11.6,0,1.2,0,1.8,0,0,0,0,0,0,0.4,0,,,,,883,755,6.4,228,2.99
798,85,0,11.6,0,1.2,0,1.8,0,0,0,0,0,0,0.4,0,,,,,912,745,2.2,232,2.99
799,85,0,11.6,0,1.2,0,1.8,0,0,0,0,0,0,0.4,0,,,,,941,775,3.2,240,2.99
800,85,0,11.6,0,1.2,0,1.8,0,0,0,0,0,0,0.4,0,,,,,990,804,4.1,265,2.99
801,85,0,11.6,0,1.2,0,1.8,0,0,0,0,0,0,0.4,0,,,,,1020,834,5.9,272,2.99
802,83.4,0,11.5,0,1.2,0,1.8,0,0,0,0,0,2.1,0,0,,,,,402,343,0.5,146,2.98
803,83.4,0,11.5,0,1.2,0,1.8,0,0,0,0,0,2.1,0,0,,,,,510,481,0.4,201,2.98
804,81.6,0,11.4,0,1.2,0,1.8,0,0,0,0,0,0,0,4,,,,,863,588,2.6,217,3
805,81.6,0,11.4,0,1.2,0,1.8,0,0,0,0,0,0,0,4,,,,,941,726,0.9,285,3
806,81.6,0,11.4,0,1.2,0,1.8,0,0,0,0,0,0,0,4,,,,,883,559,0.5,316,3
807,82.5,0,11.4,0,1.7,0,0,0,0,0,0,0,0,0.4,4,,,,,863,569,2.2,223,3.27
808,82.5,0,11.4,0,1.7,0,0,0,0,0,0,0,0,0.4,4,,,,,1079,853,2.4,275,3.27
809,82.5,0,11.4,0,1.7,0,0,0,0,0,0,0,0,0.4,4,,,,,1098,883,1.8,290,3.27
810,81.7,0,11.1,0,0,0,0,0,0,0,0,0,0,0.4,6.8,,,,,932,637,1.8,220,2.13
811,81.7,0,11.1,0,0,0,0,0,0,0,0,0,0,0.4,6.8,,,,,932,834,0.5,263,2.13
812,81.7,0,11.1,0,0,0,0,0,0,0,0,0,0,0.4,6.8,,,,,863,834,0.5,245,2.13
813,81.6,0,11.5,0,1.2,5.4,0,0,0,0,0,0,0.2,0.1,0,,,,,726,382,2.1,161,3.31
